description,created,modified,adversary,name,js,html,doc,iframe,script,php,vbscripts,downloader,dropper,crypt,exploit,riskware,malware,trojan,injector,redirector,virus,android,autorun,fake,spy,adware,phish,hidelink,stealer,java,pdf,blackhole,backdoor,unix,linux,rootkit,sms,bundle,packed,toolbar,worm,hack,ransom,keylogger,perl,joke,crack,camubot,brazil,ibm,mirai,sonicwall,gafgyt,table,ddos,apache,code,huawei,dlink,zyxel,unit42,vbscript,first,reactor,smokeloader,banker,anubis,mobile,sophos,Underminer,Bootkit,cryptominer,trendmicro,china,APAC,Gh0st,Dnstunserver,NBDDOS,GTalkTrojan,AspxSpy,GSecDump,QuarksPwDump,HTran,sofacy,nato,zebrocy,gamefish,apt28,xagent,delphi,ukraine,coreshell,asia,apt,kaspersky,plugx,office,windows,ssl,fireeye,carbanak,vnc,mimikatz,word,pos,trustwave,msword,osx,proxy,p2p,client,hijacker,russia,africa,PinchDuke,GeminiDuke,CosmicDuke,MiniDuke,CozyDuke,OnionDuke,SeaDuke,HammerDuke,CloudDuke,emissary,jakarta,dealerschoice,flash,ukrainian,mac,komplex,cmstar,bbsrat,mongolian,mongolia,military,url,xor,uzbekistan,government,russian,ics,industrial,spearphishing,FareIT,pony,HawkEye,recon,scan,scanning,port,automated,reconnaissance,range,search,test,fuzzing,nmap,portmap,service,ip,domain,info,osr,attempt,web,access,webscrape,scraping,scrape,fuzz,webscraper,gathering,fileDownload,openSource,infoGathering,triage,webserver,bruteforce,guess,passwordGuess,ipScan,portScan,portScanner,solarWinds,acas,angryIp,netcat,openVas,nessus,coreImpact,qualys,nikto,dnswalk,dirWalk,webscan,p0f,wireshark,classInfo
"Parite automated has shown the following behaviors: qualys,fuzzing,automated,bruteforce,search ; Parite automated has targeted following platforms: win32,win ; Parite automated  has used the following delivery mechanicoreImpact: passaccessGuess,scrape,scrape ;",5/24/2018 1:43,5/23/2018 22:35,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Virut malware has shown the following behaviors: trojan,ransom,virus,backdoor,crypt ; Virut malware has targeted following platforms: win32,win,vbscripts,html,js ; Virut malware  has used the following delivery mechanisms: downloader,packed,autorun,dropper ;",2/20/2018 23:34,2/17/2018 23:40,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Grayware access has shown the following behaviors: scan,dnswalk,passopenVasGuess,webserver,test ; Grayware access has targeted following platforms: win32,p0f,gathering,range,automated ; Grayware access  has used the following delivery mechaninetcat: angryIp,ipScan,service,openSource,openVas ;",2/16/2015 3:44,9/1/2017 19:48,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faceliker malware has shown the following behaviors: trojan,exploit,redirector,malware,adware ; Faceliker malware has targeted following platforms: js,script,iframe,html,win32 ; Faceliker malware  has used the following delivery mechanisms: autorun ;",9/16/2018 6:49,9/23/2018 5:43,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mira malware has shown the following behaviors: trojan,malware,worm,riskware,spy ; Mira malware has targeted following platforms: win32,win,js ;",1/31/2018 1:53,1/28/2018 0:29,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lamer malware has shown the following behaviors: trojan,worm,virus,adware,malware ; Lamer malware has targeted following platforms: win32,win,vbscripts ; Lamer malware  has used the following delivery mechanisms: packed,downloader,dropper,autorun,bundle ;",5/8/2017 3:39,5/11/2017 8:42,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rtf malware has shown the following behaviors: trojan,exploit ; Rtf malware has targeted following platforms: win32,vbscripts,script,html,msword ; Rtf malware  has used the following delivery mechanisms: dropper,downloader ;",9/13/2018 10:07,9/6/2018 3:47,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Arc malware has shown the following behaviors: hack,trojan,riskware,virus,adware ; Arc malware has targeted following platforms: win32,js,win,proxy,vbscripts ; Arc malware  has used the following delivery mechanisms: downloader,dropper,packed,blackhole,autorun ;",10/2/2018 21:33,10/2/2018 20:42,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ngc malware has shown the following behaviors: trojan,backdoor,redirector,exploit,malware ; Ngc malware has targeted following platforms: js,win32,html,script,iframe ;",7/28/2017 23:56,8/2/2017 23:35,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"App openVas has shown the following behaviors: dirWalk,p0f,acas,p0f,gathering ; App openVas has targeted following platforms: win32,bruteforce,fuzz,gathering,dnswalk ; App openVas  has used the following delivery mechanigathering: nmap,scraping,ipScan,passniktoGuess,qualys ;",2/11/2016 20:20,2/11/2016 21:33,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0
"Sivis malware has shown the following behaviors: virus,trojan,worm,adware,malware ; Sivis malware has targeted following platforms: win32,win ; Sivis malware  has used the following delivery mechanisms: downloader ;",8/30/2018 7:53,9/3/2018 4:07,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Simple malware that redirects banking sites to malicious versions.,6/15/2017 18:06,7/28/2017 5:07,7b0835dc-5d4d-4e40-8c8f-e92a47d71eb7,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
